tests.thisRepN,tests.thisTrialN,tests.thisN,tests.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,repA.thisRepN,repA.thisTrialN,repA.thisN,repA.thisIndex,repB.thisRepN,repB.thisTrialN,repB.thisN,repB.thisIndex,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,text_5.started,text_5.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_6.started,text_6.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,p_port_2.started,p_port_2.stopped,Instructions_text.started,Instructions_text.stopped,p_port_2_start,p_port_2_end,image.started,image.stopped,text_7.started,text_7.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,vending_machine.started,vending_machine.stopped,p_port_3.started,p_port_3.stopped,p_port_3_start,p_port_3_end,vendingB_image.started,vendingB_image.stopped,rewardB_image.started,rewardB_image.stopped,text_3.started,text_3.stopped,p_port.started,p_port.stopped,p_port_start,p_port_end,vendingA_image.started,vendingA_image.stopped,rewardA_image.started,rewardA_image.stopped,text_2.started,text_2.stopped,test_question.started,test_question.stopped,test_instructions.started,test_instructions.stopped,test_image.started,test_image.stopped,test_response.keys,test_response.corr,test_response.rt,test_response.started,test_response.stopped,p_port_5.started,p_port_5.stopped,p_port_5_start,p_port_5_end,feedback_text.started,feedback_text.stopped,text_4.started,text_4.stopped,finish_text.started,finish_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,version,sequence #,participant,participant initials,phase,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,4.0,14.459885138143363,62.31344940267445,None,62.31344940267445,None,76.76331242877859,None,space,9.344010505104961,77.74664191325792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.11323718747008,None,space,3.949062313688046,88.09656546446604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01480395752878394,1.0130666908171406,92.0632111511095,None,158,4,92.0632111511095,None,103.8464651678787,None,q,13.48399163817885,103.8464651678787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.47969903476951,None,0.015130883652091143,None,103,4,123.64636162617899,None,123.64636162617899,None,124.62969231814168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
0,0,0,0,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.72969186533555,None,0.01505783090760815,None,103,4,127.72965020716038,None,127.72965020716038,None,128.7129833140898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.8130157652049,None,,,,,,,,,,,0.015025832599349087,None,101,4,131.5463481929255,None,131.5463481929255,None,132.52964960341706,None,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
0,0,0,0,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.6296156429471,None,,,,,,,,,,,0.014828107194261975,None,101,4,135.61303146248974,None,135.61303146248974,None,136.59627189507046,None,,,,,,,,,,,,,,,,,,,,,,,,,,B,1,070,SK,VIns,2020_Feb_18_1412,Instrumental,3.2.4,60.00505374365455,
