"block","block_trial","event","eventn","time","et.msg"
"GtW",1,"face",1,10738450,"TRIALID 1_1_1_F1_0.7"
"GtW",1,"feedback",2,10740965,"TRIALID 1_1_2_1_1"
"GtW",2,"face",3,10745964,"TRIALID 1_2_1_F1_0.7"
"GtW",2,"feedback",4,10748465,"TRIALID 0_2_2_1_1"
"GtW",3,"face",5,10753466,"TRIALID 1_3_1_F1_0.7"
"GtW",3,"feedback",6,10755965,"TRIALID 1_3_2_1_1"
"GtW",4,"face",7,10760966,"TRIALID 1_4_1_F1_0.7"
"GtW",4,"feedback",8,10763465,"TRIALID 1_4_2_1_1"
"GtW",5,"face",9,10768467,"TRIALID 1_5_1_F1_0.7"
"GtW",5,"feedback",10,10770966,"TRIALID 1_5_2_1_1"
"GtW",6,"face",11,10775967,"TRIALID 1_6_1_F1_0.7"
"GtW",6,"feedback",12,10778465,"TRIALID 0_6_2_1_1"
"GtW",7,"face",13,10783467,"TRIALID 1_7_1_F1_0.7"
"GtW",7,"feedback",14,10785967,"TRIALID 1_7_2_1_1"
"GtW",8,"face",15,10790968,"TRIALID 1_8_1_F1_0.7"
"GtW",8,"feedback",16,10793467,"TRIALID 1_8_2_1_1"
"GtW",9,"face",17,10798468,"TRIALID 1_9_1_F1_0.7"
"GtW",9,"feedback",18,10800967,"TRIALID 1_9_2_1_1"
"GtW",10,"face",19,10805969,"TRIALID 1_10_1_F1_0.7"
"GtW",10,"feedback",20,10808468,"TRIALID 1_10_2_1_1"
"GtW",11,"face",21,10813468,"TRIALID 1_11_1_F1_0.7"
"GtW",11,"feedback",22,10815968,"TRIALID 1_11_2_1_1"
"GtW",12,"face",23,10820969,"TRIALID 1_12_1_F1_0.7"
"GtW",12,"feedback",24,10823469,"TRIALID 0_12_2_1_1"
"GtW",13,"face",25,10828469,"TRIALID 1_13_1_F1_0.7"
"GtW",13,"feedback",26,10830969,"TRIALID 1_13_2_1_1"
"GtW",14,"face",27,10835970,"TRIALID 1_14_1_F1_0.7"
"GtW",14,"feedback",28,10838469,"TRIALID 0_14_2_1_1"
"GtW",15,"face",29,10843470,"TRIALID 1_15_1_F1_0.7"
"GtW",15,"feedback",30,10845970,"TRIALID 1_15_2_1_1"
"GtW",16,"face",31,10850970,"TRIALID 1_16_1_F1_0.7"
"GtW",16,"feedback",32,10853471,"TRIALID 1_16_2_1_1"
"GtW",17,"face",33,10858471,"TRIALID 1_17_1_F1_0.7"
"GtW",17,"feedback",34,10860971,"TRIALID 0_17_2_1_1"
"GtW",18,"face",35,10865971,"TRIALID 1_18_1_F1_0.7"
"GtW",18,"feedback",36,10868471,"TRIALID 0_18_2_1_1"
