picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,p_port_start,p_port_end,p_port.started,p_port.stopped,image.started,image.stopped,p_port_2.started,p_port_2.stopped,text_7.started,text_7.stopped,response,text_6.started,text_6.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,participant initials,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,136.19647988408178,None,space,27.176655421979376,136.19647988408178,None,,,,,,,,,,,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
,0,0,0,0,,,,,,,,,,,163.39583267298985,None,163.39583267298985,None,,,,,,,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
,1,0,1,0,,,,,,,,,,,164.3962972522204,164.3962972522204,164.3962972522204,164.3962972522204,,,,,,,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
,2,0,2,0,,,,,,,,,,,165.3962903091906,165.3962903091906,165.3962903091906,165.3962903091906,,,,,,,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
,3,0,3,0,,,,,,,,,,,166.39628849796463,166.39628849796463,166.39628849796463,166.39628849796463,,,,,,,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
,4,0,4,0,,,,,,,,,,,167.39629181854434,167.39629181854434,167.39629181854434,167.39629181854434,,,,,,,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
purple.gif,,,,,0,0,0,3,,,,,,,,,,,6,4,0.013704302413316327,10.010697065059503,168.5291409510428,None,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
yellow.gif,,,,,0,1,1,0,,,,,,,,,,,4,4,0.007808342201315099,9.998894398031553,178.76252635709716,178.76252635709716,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
green.gif,,,,,0,2,2,4,,,,,,,,,,,4,4,0.010508878776818165,10.004293961828807,188.9961541654393,188.9961541654393,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
red.gif,,,,,0,3,3,2,,,,,,,,,,,4,4,0.008540077127690893,10.000411299026382,199.22946108507495,199.22946108507495,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
white.gif,,,,,0,4,4,1,,,,,,,,,,,4,4,0.009571871676598676,10.002406061566944,209.4626777453268,209.4626777453268,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
blue.gif,,,,,0,5,5,5,,,,,,,,,,,4,4,0.01210668115527369,10.007517338704929,219.69595296852094,219.69595296852094,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
green.gif,,,,,1,0,6,4,,,,,,,,,,,12,4,0.011253594151639845,10.005831691913045,229.9292529451268,229.9292529451268,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
purple.gif,,,,,1,1,7,3,,,,,,,,,,,4,4,0.009762654048245167,10.002832605068761,240.16248469892162,240.16248469892162,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
white.gif,,,,,1,2,8,1,,,,,,,,,,,4,4,0.012919015600346029,10.009122084116825,250.39576384643806,250.39576384643806,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
yellow.gif,,,,,1,3,9,0,,,,,,,,,,,4,4,0.00877674387083971,10.000861992197315,260.62902790041153,260.62902790041153,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
blue.gif,,,,,1,4,10,5,,,,,,,,,,,4,4,0.010596723190246848,10.004501648967562,270.86230070864076,270.86230070864076,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
red.gif,,,,,1,5,11,2,,,,,,,,,,,4,4,0.00949972454145609,10.002310368507096,281.0955729131292,281.0955729131292,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
yellow.gif,,,,,2,0,12,0,,,,,,,,,,,14,4,0.010590685777060571,10.004499535874857,291.32883908019903,291.32883908019903,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
purple.gif,,,,,2,1,13,3,,,,,,,,,,,4,4,0.011406340796384029,10.006097941995904,301.56213694370854,301.56213694370854,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
white.gif,,,,,2,2,14,1,,,,,,,,,,,4,4,0.01138641731995449,10.006143524491563,311.79538258356115,311.79538258356115,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
red.gif,,,,,2,3,15,2,,,,,,,,,,,4,4,0.009031220994074829,10.0013006105346,322.02864573192346,322.02864573192346,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
green.gif,,,,,2,4,16,4,,,,,,,,,,,4,4,0.009023976092066732,10.001344985548712,332.261941784207,332.261941784207,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
blue.gif,,,,,2,5,17,5,,,,,,,,,,,4,4,0.007908261448392295,9.999149780764128,342.4952471944871,342.4952471944871,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
white.gif,,,,,3,0,18,1,,,,,,,,,,,20,4,0.006851109754279605,9.996991706100744,352.72801497279397,352.72801497279397,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
yellow.gif,,,,,3,1,19,0,,,,,,,,,,,4,4,0.011833789912998327,10.006977291766816,362.9617698687616,362.9617698687616,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
blue.gif,,,,,3,2,20,5,,,,,,,,,,,4,4,0.008753499816521071,10.000794071256678,373.19499739636376,373.19499739636376,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
green.gif,,,,,3,3,21,4,,,,,,,,,,,4,4,0.009487045968853636,10.00228289826373,383.4282623559502,383.4282623559502,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
purple.gif,,,,,3,4,22,3,,,,,,,,,,,4,4,0.01044941022155399,10.004206721156152,393.66153848475915,393.66153848475915,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
red.gif,,,,,3,5,23,2,,,,,,,,,,,4,4,0.009584248380633653,10.002481529278157,403.8948070667957,403.8948070667957,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
white.gif,,,,,4,0,24,1,,,,,,,,,,,22,4,0.010242628690320998,10.003801308608672,414.1280943648253,414.1280943648253,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
purple.gif,,,,,4,1,25,3,,,,,,,,,,,4,4,0.01131879825334181,10.005940365415881,424.3613572113172,424.3613572113172,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
green.gif,,,,,4,2,26,4,,,,,,,,,,,4,4,0.010861463924811687,10.005018149986427,434.5946167372276,434.5946167372276,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
yellow.gif,,,,,4,3,27,0,,,,,,,,,,,4,4,0.01100847502311808,10.005331190050128,444.82788260242705,444.82788260242705,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
red.gif,,,,,4,4,28,2,,,,,,,,,,,4,4,0.015986113941835356,10.015300867124097,455.11115488238283,455.11115488238283,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
blue.gif,,,,,4,5,29,5,,,,,,,,,,,4,4,0.008686484487043344,10.00064645641396,465.34444489724956,465.34444489724956,,,,,,,,,,,,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
,,,,,,,,,,,,,,,,,,,,,,,,,0.015235059279802954,1.030492819247229,475.4777160451886,None,num_5,475.4777160451886,None,"['right', 'return']","[6.260482842415513, 8.828454345808495]",475.4777160451886,None,070,KS,001,2020_Feb_18_1403,vanilla_baseline_EL_quizfiixed,3.2.4,59.99483845248868,
