28.4434 	DATA 	Keypress: c
61.9481 	DATA 	version B
76.4991 	DATA 	Mouse: Left button down, pos=(800,318)
76.7306 	DATA 	Mouse:  Left button up, pos=(800,318)
87.0994 	DATA 	Keypress: space
92.0498 	DATA 	Keypress: space
102.8650 	DATA 	Keypress: n
103.8331 	DATA 	Keypress: space
107.9813 	DATA 	Keypress: b
108.2312 	DATA 	Keypress: b
108.2313 	DATA 	Keypress: n
108.4482 	DATA 	Keypress: b
108.6313 	DATA 	Keypress: n
108.7982 	DATA 	Keypress: n
108.8483 	DATA 	Keypress: b
109.0153 	DATA 	Keypress: n
109.2153 	DATA 	Keypress: n
109.3653 	DATA 	Keypress: n
109.5483 	DATA 	Keypress: n
109.8153 	DATA 	Keypress: b
109.9653 	DATA 	Keypress: b
110.0984 	DATA 	Keypress: b
110.2653 	DATA 	Keypress: b
110.3983 	DATA 	Keypress: b
110.5313 	DATA 	Keypress: b
110.5314 	DATA 	Keypress: n
117.3317 	DATA 	Keypress: q
120.9632 	DATA 	Keypress: n
121.4298 	DATA 	Keypress: n
121.6631 	DATA 	Keypress: n
122.1139 	DATA 	Keypress: n
122.4131 	DATA 	Keypress: n
122.5798 	DATA 	Keypress: n
122.7632 	DATA 	Keypress: n
122.9298 	DATA 	Keypress: n
123.2300 	DATA 	Keypress: n
123.2301 	DATA 	win B
123.4564 	DATA 	Keypress: n
124.1465 	DATA 	Keypress: n
124.3631 	DATA 	Keypress: n
124.5132 	DATA 	Keypress: n
124.6965 	DATA 	Keypress: n
124.8798 	DATA 	Keypress: n
125.0631 	DATA 	Keypress: n
125.3299 	DATA 	Keypress: n
125.5143 	DATA 	Keypress: n
125.7111 	DATA 	Keypress: n
125.8965 	DATA 	Keypress: n
126.0965 	DATA 	Keypress: n
126.5465 	DATA 	Keypress: n
126.8632 	DATA 	Keypress: n
127.0631 	DATA 	Keypress: n
127.2965 	DATA 	Keypress: n
127.2966 	DATA 	win B
128.0798 	DATA 	Keypress: n
128.2965 	DATA 	Keypress: n
128.4631 	DATA 	Keypress: n
128.6298 	DATA 	Keypress: n
128.8298 	DATA 	Keypress: n
129.0298 	DATA 	Keypress: n
129.2298 	DATA 	Keypress: n
129.8965 	DATA 	Keypress: b
130.1298 	DATA 	Keypress: b
130.3131 	DATA 	Keypress: b
130.5131 	DATA 	Keypress: b
130.6964 	DATA 	Keypress: b
130.8964 	DATA 	Keypress: b
131.1131 	DATA 	Keypress: b
131.1132 	DATA 	win A
131.3565 	DATA 	Keypress: b
131.8798 	DATA 	Keypress: b
132.1131 	DATA 	Keypress: b
132.3131 	DATA 	Keypress: b
132.4964 	DATA 	Keypress: b
132.7131 	DATA 	Keypress: b
133.2131 	DATA 	Keypress: b
133.5151 	DATA 	Keypress: b
133.7298 	DATA 	Keypress: b
134.0131 	DATA 	Keypress: b
134.2464 	DATA 	Keypress: b
134.4798 	DATA 	Keypress: b
134.7298 	DATA 	Keypress: b
134.9797 	DATA 	Keypress: b
135.1797 	DATA 	Keypress: b
135.1798 	DATA 	win A
135.3524 	DATA 	Keypress: b
135.8964 	DATA 	Keypress: b
135.9797 	DATA 	Keypress: n
136.2797 	DATA 	Keypress: b
136.4464 	DATA 	Keypress: n
136.6297 	DATA 	Keypress: b
136.7464 	DATA 	Keypress: n
136.8964 	DATA 	Keypress: b
137.0464 	DATA 	Keypress: n
137.3964 	DATA 	Keypress: b
137.6403 	DATA 	Keypress: b
137.8905 	DATA 	Keypress: b
137.9876 	DATA 	Keypress: b
140.3708 	DATA 	Keypress: b
140.5084 	DATA 	correct
144.8630 	DATA 	Keypress: b
145.1797 	DATA 	Keypress: n
145.4630 	DATA 	Keypress: b
145.6797 	DATA 	Keypress: b
145.8797 	DATA 	Keypress: b
146.1130 	DATA 	Keypress: b
146.3630 	DATA 	Keypress: b
146.6297 	DATA 	Keypress: b
146.8797 	DATA 	Keypress: b
146.8797 	DATA 	win A
147.1309 	DATA 	Keypress: b
148.1797 	DATA 	Keypress: b
149.2859 	DATA 	Keypress: b
149.5297 	DATA 	Keypress: n
149.7797 	DATA 	Keypress: n
149.9796 	DATA 	Keypress: n
150.1963 	DATA 	Keypress: n
150.4131 	DATA 	Keypress: n
150.6296 	DATA 	Keypress: n
150.8130 	DATA 	Keypress: n
151.0296 	DATA 	Keypress: n
151.4463 	DATA 	Keypress: n
151.4464 	DATA 	win B
151.6412 	DATA 	Keypress: n
152.2463 	DATA 	Keypress: n
152.5463 	DATA 	Keypress: n
153.2463 	DATA 	Keypress: b
153.5297 	DATA 	Keypress: b
153.8706 	DATA 	Keypress: b
154.0796 	DATA 	Keypress: b
154.3796 	DATA 	Keypress: b
155.0296 	DATA 	Keypress: b
155.2630 	DATA 	Keypress: b
155.4796 	DATA 	Keypress: b
155.6796 	DATA 	Keypress: b
155.9463 	DATA 	Keypress: b
155.9464 	DATA 	win A
158.9963 	DATA 	Keypress: n
159.3130 	DATA 	Keypress: n
159.5463 	DATA 	Keypress: n
159.7630 	DATA 	Keypress: n
159.9962 	DATA 	Keypress: n
160.2462 	DATA 	Keypress: n
160.5129 	DATA 	Keypress: n
160.7462 	DATA 	Keypress: n
161.0129 	DATA 	Keypress: n
161.0130 	DATA 	win B
161.2951 	DATA 	Keypress: n
165.6820 	DATA 	Keypress: n
165.8215 	DATA 	correct
169.1962 	DATA 	Keypress: n
169.5129 	DATA 	Keypress: n
169.7795 	DATA 	Keypress: n
170.0462 	DATA 	Keypress: n
170.2962 	DATA 	Keypress: n
170.5795 	DATA 	Keypress: n
170.5796 	DATA 	win B
175.4129 	DATA 	Keypress: n
