Onset,Condition,Dur,p_onset,p_offset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_port_2.started,p_port_2.stopped,p_port_2_start,test_trigger.started,test_trigger.stopped,p_port.started,p_port.stopped,CStest.started,CStest.stopped,p_port_start,p_port_end,pressL,pressR,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,version,CB,participant,participant initials,phase,date,expName,psychopyVersion,frameRate,
28,CBblue.png,4,132,133,0,0,0,0,0.009899099670292344,None,4,34.12566551201235,None,0.012945731166837504,4.009170534385703,59.92553329258226,None,132,4,0.0,8.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
32,vend.png,2,4,0,0,1,1,1,,,,,,0.0021419849508674815,2.0046924917151046,64.40882277917444,None,4,4,1.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
34,CByellow.png,4,140,141,0,2,2,2,,,,,,0.0035656984146044124,4.007077965690769,66.85882557148034,None,140,4,2.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
38,vend.png,2,4,0,0,3,3,3,,,,,,0.0019050767114094924,2.0037217354529275,71.29216448942316,None,4,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
40,CBgreen.png,4,134,135,0,4,4,4,,,,,,0.013084229511150625,4.009413781912372,73.75880459145628,None,134,4,11.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
44,vend.png,2,4,0,0,5,5,5,,,,,,0.01484021221222065,2.0129719335545815,78.22493724859851,None,4,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
46,CBred.png,4,126,127,0,6,6,6,,,,,,0.00416850430337945,4.008311983516251,80.67543027915599,None,126,4,0.0,6.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
50,vend.png,2,4,0,0,7,7,7,,,,,,0.011811843900431995,2.0235494879489124,85.14203355294558,None,4,4,1.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
52,CBgreen.png,4,134,135,0,8,8,8,,,,,,0.002156867183657596,4.004215626342557,87.57538454572386,None,134,4,9.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
56,vend.png,2,4,0,0,9,9,9,,,,,,0.010514312447412522,2.0209053106591455,92.10866776849616,None,4,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
58,CBblue.png,4,132,133,0,10,10,10,,,,,,0.004447131093911594,4.008805844217932,94.55862920449545,None,132,4,0.0,12.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
62,vend.png,2,4,0,0,11,11,11,,,,,,0.0077012384244881105,2.0153587961394805,99.04195763242751,None,4,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
64,CByellow.png,4,140,141,0,12,12,12,,,,,,0.013722414661970106,4.0106816696461465,101.4753222093932,None,140,4,2.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
68,vend.png,2,4,0,0,13,13,13,,,,,,0.0022551865185960196,2.0048811609958648,105.94196472639305,None,4,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
70,CBgreen.png,4,134,135,0,14,14,14,,,,,,0.00867631143773906,4.000580135387281,108.42521798848429,None,134,4,0.0,11.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
74,vend.png,2,4,0,0,15,15,15,,,,,,0.014655165385192959,2.012628404534553,112.87521866769384,None,4,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
76,CBred.png,4,126,127,0,16,16,16,,,,,,0.0015784222687216243,4.003166866654283,115.34186027908072,None,126,4,12.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
80,vend.png,2,4,0,0,17,17,17,,,,,,0.012941414412125596,2.009172858788588,119.80849947550087,None,4,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
82,CBblue.png,4,132,133,0,18,18,18,,,,,,0.0085072637648409,4.00032294142693,122.27515165236582,None,132,4,0.0,10.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
86,vend.png,2,4,0,0,19,19,19,,,,,,0.01253633392843767,2.008305915913297,126.72465696151994,None,4,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
88,CByellow.png,4,140,141,0,20,20,20,,,,,,0.004870354017839418,4.009663761158663,129.1751364078882,None,140,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
92,vend.png,2,4,0,0,21,21,21,,,,,,0.00486881447613996,2.0096616178761906,133.62525783543606,None,4,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
94,CBred.png,4,126,127,0,22,22,22,,,,,,0.005841472524480196,4.01161746926482,136.0750897688431,None,126,4,12.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
98,vend.png,2,4,0,0,23,23,23,,,,,,0.013453085495712003,2.010164202643864,140.57457160753802,None,4,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
100,CByellow.png,4,140,141,0,24,24,24,,,,,,0.0011425811444496503,4.002151433505787,143.00837419910022,None,140,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
104,vend.png,2,4,0,0,25,25,25,,,,,,0.006056978118067491,2.012042775095324,147.45832778645672,None,4,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
106,CBgreen.png,4,134,135,0,26,26,26,,,,,,0.007074916793499142,3.9973945225501666,149.89165010150464,None,134,4,0.0,13.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
110,vend.png,2,4,0,0,27,27,27,,,,,,0.004809315732927644,2.009482578278039,154.3749507573193,None,4,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
112,CBblue.png,4,132,133,0,28,28,28,,,,,,0.013571630175647442,4.010825812973053,156.89165674266405,None,132,4,0.0,6.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
116,vend.png,2,4,0,0,29,29,29,,,,,,0.015671836203182465,2.014653323973107,161.35825307342384,None,4,4,0.0,0.0,,,,,,,,,,,B,yes,070,SK,Vpit,2020_Feb_18_1438,transfer,3.2.4,60.000380359643856,
