faces,pgo,outcome,blockcode,blockend,face,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,Cavb_trials.thisRepN,Cavb_trials.thisTrialN,Cavb_trials.thisN,Cavb_trials.thisIndex,p_port_2.started,p_port_2.stopped,Intro1.started,Intro1.stopped,p_port_2_start,p_port_2_end,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_8.started,text_8.stopped,text_21.started,text_21.stopped,image.started,image.stopped,empty.started,empty.stopped,fill.started,fill.stopped,mid.started,mid.stopped,text_9.started,text_9.stopped,cor.started,cor.stopped,text_14.started,text_14.stopped,text_17.started,text_17.stopped,text_22.started,text_22.stopped,image_2.started,image_2.stopped,empty1.started,empty1.stopped,fill1.started,fill1.stopped,mid1.started,mid1.stopped,text_10.started,text_10.stopped,text_15.started,text_15.stopped,corr.started,corr.stopped,text_18.started,text_18.stopped,text_23.started,text_23.stopped,empty22.started,empty22.stopped,fill22.started,fill22.stopped,mid22.started,mid22.stopped,image_22.started,image_22.stopped,text_25.started,text_25.stopped,text_26.started,text_26.stopped,neut.started,neut.stopped,text_27.started,text_27.stopped,text_24.started,text_24.stopped,image_4.started,image_4.stopped,empty3.started,empty3.stopped,fill3.started,fill3.stopped,mid3.started,mid3.stopped,text_12.started,text_12.stopped,neutral.started,neutral.stopped,text_13.started,text_13.stopped,text_20.started,text_20.stopped,blockstart_parport.started,blockstart_parport.stopped,blockstart_parport_start,blockstart_parport_end,text_6.started,text_6.stopped,image_6.started,image_6.stopped,decision_partport.started,decision_partport.stopped,decision_partport_start,decision_partport_end,obtained,image_5.started,image_5.stopped,emptymeter.started,emptymeter.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,fillmeter.started,fillmeter.stopped,midpoint.started,midpoint.stopped,polygon.started,polygon.stopped,text_7.started,text_7.stopped,feedback_parport.started,feedback_parport.stopped,feedback_parport_start,feedback_parport_end,correctimg.started,correctimg.stopped,incorrectimg.started,incorrectimg.stopped,neutralimg.started,neutralimg.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,p_port.started,p_port.stopped,p_port_start,p_port_end,text_end.started,text_end.stopped,participant,sequence #,participant initials,date,expName,psychopyVersion,frameRate,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,0,0,0,0,0.0019574566226765455,1.020611314270809,94.1064556462984,None,157,4,112.28973763126123,None,128.80638736292758,None,145.62303141940674,None,161.8396726382921,None,169.22299803240048,None,174.22299108935204,None,174.22299108935204,None,174.22299108935204,None,174.22299108935204,None,178.60633489763222,None,179.10633248265913,None,179.10633248265913,None,181.10634848185737,None,184.1063511987022,None,190.58964230018955,None,190.58964230018955,None,190.58964230018955,None,190.58964230018955,None,192.33962464069737,None,192.83961950887897,None,192.83961950887897,None,194.83961558454757,None,197.83961558454757,None,203.2396079170071,None,203.2396079170071,None,203.2396079170071,None,203.2396079170071,None,204.38960553222114,None,204.8896040228624,None,204.8896040228624,None,206.88963964371897,None,209.8895985891727,None,215.00625719586606,None,215.00625719586606,None,215.00625719586606,None,215.00625719586606,None,216.75623289519672,None,217.25623078209537,None,217.25623078209537,None,219.25624285696176,None,0.003542977166489436,1.9904444637636516,84,4,222.289404968687,None,222.289404968687,None,0.010421877726003004,None,95,4,0,235.6227162653886,None,235.6227162653886,None,space,1.7783960109468353,235.6227162653886,None,235.6227162653886,None,235.6227162653886,None,235.6227162653886,None,237.68955548189888,None,0.011455788177954673,None,100,4,238.12290885951097,None,238.12290885951097,None,238.12290885951097,None,238.12290885951097,None,240.18954974633743,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01208187001020633,None,95,4,0,243.1395869671137,None,243.1395869671137,None,space,1.4195047131224783,243.1395869671137,None,243.1395869671137,None,243.1395869671137,None,243.1395869671137,None,245.20622513709486,None,0.011553896468740277,None,100,4,245.62287082368084,None,245.62287082368084,None,245.62287082368084,None,245.62287082368084,None,247.68953284152394,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01210300102684414,None,95,4,0,250.6395782128352,None,250.6395782128352,None,space,1.0944526251664684,250.6395782128352,None,250.6395782128352,None,250.6395782128352,None,250.6395782128352,None,252.70623298575856,None,0.0115810649181185,None,100,4,253.1228427496162,None,253.1228427496162,None,253.1228427496162,None,253.1228427496162,None,255.1895198610423,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01209575610664615,None,95,4,0,258.1396011550819,None,258.1396011550819,None,space,0.9106577602447032,258.1396011550819,None,258.1396011550819,None,258.1396011550819,None,258.1396011550819,None,260.20618347880554,None,0.011510426948461827,None,100,4,260.62284546646106,None,260.62284546646106,None,260.62284546646106,None,260.62284546646106,None,262.689510201149,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012043834180531121,None,95,4,0,265.6395139141705,None,265.6395139141705,None,space,0.8724048847661834,265.6395139141705,None,265.6395139141705,None,265.6395139141705,None,265.6395139141705,None,267.7061677814786,None,0.01158498925042295,None,100,4,268.1228330897229,None,268.1228330897229,None,268.1228330897229,None,268.1228330897229,None,270.18950386184406,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012114170278437086,None,95,4,1,273.13950515989245,None,273.13950515989245,None,space,0.6774105810850415,273.13950515989245,None,273.13950515989245,None,273.13950515989245,None,273.13950515989245,None,275.2061563103557,None,0.011562952618533018,None,100,4,275.62284154212966,None,275.62284154212966,None,275.62284154212966,None,275.62284154212966,None,277.68952620034725,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012428116809587664,None,95,4,0,280.6394882550794,None,280.6394882550794,None,space,1.3553292121810046,280.6394882550794,None,280.6394882550794,None,280.6394882550794,None,280.6394882550794,None,282.7061771395006,None,0.0116037052930551,None,100,4,283.1228487870494,None,283.1228487870494,None,283.1228487870494,None,283.1228487870494,None,285.1894766933942,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012078247550107335,None,95,4,0,288.1395078767373,None,288.1395078767373,None,space,1.066252981737307,288.1395078767373,None,288.1395078767373,None,288.1395078767373,None,288.1395078767373,None,290.2061173689108,None,0.010535079600231256,None,100,4,290.6227829790264,None,290.6227829790264,None,290.6227829790264,None,290.6227829790264,None,292.68947065596103,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01201062829750299,None,95,4,1,295.63946018101433,None,295.63946018101433,None,space,1.1112735180663549,295.63946018101433,None,295.63946018101433,None,295.63946018101433,None,295.63946018101433,None,297.70613668869737,None,0.011946933375838853,None,100,4,298.1227829790264,None,298.1227829790264,None,298.1227829790264,None,298.1227829790264,None,300.189437450078,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012023005035644019,None,95,4,0,303.1394559548112,None,303.1394559548112,None,None,,303.1394559548112,None,303.1394559548112,None,303.1394559548112,None,303.1394559548112,None,305.2060929173058,None,0.011505295130518789,None,100,4,305.62277362100485,None,305.62277362100485,None,305.62277362100485,None,305.62277362100485,None,307.6894890701328,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
