Onset,Condition,Dur,p_onset,p_offset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_port_2.started,p_port_2.stopped,p_port_2_start,test_trigger.started,test_trigger.stopped,p_port.started,p_port.stopped,CStest.started,CStest.stopped,p_port_start,p_port_end,pressL,pressR,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,version,CB,participant,participant initials,phase,date,expName,psychopyVersion,frameRate,
28,CBblue.png,4,132,133,0,0,0,0,0.010257750100208796,None,4,99.42465464372253,None,0.014203605192960822,4.0118945888298185,113.79136321017722,None,132,4,8.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
32,vend.png,2,4,0,0,1,1,1,,,,,,0.009565830061546876,2.0025186360489897,118.27466548091616,None,4,4,0.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
34,CByellow.png,4,140,141,0,2,2,2,,,,,,0.010814914634465822,4.004990602736143,120.70798504890081,None,140,4,0.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
38,vend.png,2,4,0,0,3,3,3,,,,,,0.010227774248050991,2.0038519428180734,125.14131971047027,None,4,4,0.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
40,CBgreen.png,4,134,135,0,4,4,4,,,,,,0.005841246898853569,3.9951558955835935,127.55797384946163,None,134,4,7.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
44,vend.png,2,4,0,0,5,5,5,,,,,,0.011465176386991516,2.0064507861661696,132.02467861233345,None,4,4,2.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
46,CBred.png,4,126,127,0,6,6,6,,,,,,0.003527400591337937,3.99045303692219,134.4744845994137,None,126,4,7.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
50,vend.png,2,4,0,0,7,7,7,,,,,,0.01178996011185518,2.007071404121234,138.9079339722157,None,4,4,0.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
52,CBgreen.png,4,134,135,0,8,8,8,,,,,,0.007486447471819702,3.9983496977965842,141.32462826013943,None,134,4,9.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
56,vend.png,2,4,0,0,9,9,9,,,,,,0.014173568964906735,2.0117335402992467,145.79132275937263,None,4,4,0.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
58,CBblue.png,4,132,133,0,10,10,10,,,,,,0.00047215747144946363,4.001056882887497,148.2413056432506,None,132,4,4.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
62,vend.png,2,4,0,0,11,11,11,,,,,,0.005534847157832701,1.994387632195867,152.67457449679569,None,4,4,2.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
64,CByellow.png,4,140,141,0,12,12,12,,,,,,0.011786639524871134,4.007049669362459,155.10792274258893,None,140,4,0.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
68,vend.png,2,4,0,0,13,13,13,,,,,,0.011737464630641625,2.0069437425936485,159.55792313502207,None,4,4,0.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
70,CBgreen.png,4,134,135,0,14,14,14,,,,,,0.012729988475257414,4.008983459245428,162.0079238293274,None,134,4,18.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
74,vend.png,2,4,0,0,15,15,15,,,,,,0.0032421318683191203,1.9898224270145874,166.441031483404,None,4,4,0.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
76,CBred.png,4,126,127,0,16,16,16,,,,,,0.0017626588396524312,4.003618263961471,168.87456024845233,None,126,4,9.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
80,vend.png,2,4,0,0,17,17,17,,,,,,0.005075398486951599,1.9936054827157932,173.2912234435953,None,4,4,0.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
82,CBblue.png,4,132,133,0,18,18,18,,,,,,0.014914663899617153,4.013446661994749,175.74119938442345,None,132,4,12.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
86,vend.png,2,4,0,0,19,19,19,,,,,,0.005139697152117151,1.9936447260315617,180.1911867963754,None,4,4,0.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
88,CByellow.png,4,140,141,0,20,20,20,,,,,,0.010744548348156968,4.004894879230051,182.60789406478034,None,140,4,0.0,0.0,,,,,,,,,,,J,yes,083,cm,Vpit,2020_Feb_17_1706,transfer,3.2.4,60.00271696785502,
