"block","trial","block_trial","event","eventn","time","et.msg"
"ins",1,"1","shroom","1",1,"TRIALID approach-ins_1_1_shroom"
"ins",1,"1","feedback","2",5075,"TRIALID approach-ins_1_2_feedback"
"ins",2,"2","shroom","3",10959,"TRIALID approach-ins_2_3_shroom"
"ins",2,"2","feedback","4",15857,"TRIALID approach-ins_2_4_feedback"
"ins",3,"3","shroom","5",21445,"TRIALID approach-ins_3_5_shroom"
"ins",3,"3","feedback","6",25740,"TRIALID approach-ins_3_6_feedback"
"ins",4,"4","shroom","7",31240,"TRIALID approach-ins_4_7_shroom"
"ins",4,"4","feedback","8",35640,"TRIALID approach-ins_4_8_feedback"
"ins",5,"5","shroom","9",41441,"TRIALID approach-ins_5_9_shroom"
"ins",5,"5","shroom","10",45659,"TRIALID approach-ins_5_10_shroom"
"ins",5,"5","feedback","11",49992,"TRIALID approach-ins_5_11_feedback"
"ins",6,"6","shroom","12",56125,"TRIALID approach-ins_6_12_shroom"
"ins",6,"6","feedback","13",61025,"TRIALID approach-ins_6_13_feedback"
"ins",7,"7","shroom","14",66559,"TRIALID approach-ins_7_14_shroom"
"ins",7,"7","feedback","15",71443,"TRIALID approach-ins_7_15_feedback"
"ins",8,"8","shroom","16",76977,"TRIALID approach-ins_8_16_shroom"
"ins",8,"8","feedback","17",81259,"TRIALID approach-ins_8_17_feedback"
"ins",9,"9","shroom","18",86994,"TRIALID approach-ins_9_18_shroom"
"ins",9,"9","feedback","19",92126,"TRIALID approach-ins_9_19_feedback"
"ins",10,"10","shroom","20",97594,"TRIALID approach-ins_10_20_shroom"
"ins",10,"10","feedback","21",102477,"TRIALID approach-ins_10_21_feedback"
"ins",11,"11","shroom","22",107979,"TRIALID approach-ins_11_22_shroom"
"ins",11,"11","feedback","23",112861,"TRIALID approach-ins_11_23_feedback"
"ins",12,"12","shroom","24",118979,"TRIALID approach-ins_12_24_shroom"
"ins",12,"12","feedback","25",123861,"TRIALID approach-ins_12_25_feedback"
"ins",13,"13","shroom","26",129330,"TRIALID approach-ins_13_26_shroom"
"ins",13,"13","feedback","27",133462,"TRIALID approach-ins_13_27_feedback"
"ins",14,"14","shroom","28",138996,"TRIALID approach-ins_14_28_shroom"
"ins",14,"14","feedback","29",143280,"TRIALID approach-ins_14_29_feedback"
"ins",15,"15","shroom","30",148614,"TRIALID approach-ins_15_30_shroom"
"ins",15,"15","feedback","31",153497,"TRIALID approach-ins_15_31_feedback"
"ins",16,"16","shroom","32",159915,"TRIALID approach-ins_16_32_shroom"
"ins",16,"16","feedback","33",164797,"TRIALID approach-ins_16_33_feedback"
"ins",17,"17","shroom","34",170781,"TRIALID approach-ins_17_34_shroom"
"ins",17,"17","feedback","35",174899,"TRIALID approach-ins_17_35_feedback"
"ins",18,"18","shroom","36",180532,"TRIALID approach-ins_18_36_shroom"
"ins",18,"18","feedback","37",185416,"TRIALID approach-ins_18_37_feedback"
"ins",19,"19","shroom","38",190883,"TRIALID approach-ins_19_38_shroom"
"ins",19,"19","feedback","39",195166,"TRIALID approach-ins_19_39_feedback"
"ins",20,"20","shroom","40",200934,"TRIALID approach-ins_20_40_shroom"
"ins",20,"20","feedback","41",205816,"TRIALID approach-ins_20_41_feedback"
"ins",21,"21","shroom","42",211350,"TRIALID approach-ins_21_42_shroom"
"ins",21,"21","feedback","43",215730,"TRIALID approach-ins_21_43_feedback"
"ins",22,"22","shroom","44",220786,"TRIALID approach-ins_22_44_shroom"
"ins",22,"22","feedback","45",225667,"TRIALID approach-ins_22_45_feedback"
"ins",23,"23","shroom","46",230902,"TRIALID approach-ins_23_46_shroom"
"ins",23,"23","feedback","47",235636,"TRIALID approach-ins_23_47_feedback"
"ins",24,"24","shroom","48",241102,"TRIALID approach-ins_24_48_shroom"
"ins",24,"24","feedback","49",245986,"TRIALID approach-ins_24_49_feedback"
"ins",25,"25","shroom","50",251453,"TRIALID approach-ins_25_50_shroom"
"ins",25,"25","feedback","51",256337,"TRIALID approach-ins_25_51_feedback"
"ins",26,"26","shroom","52",263854,"TRIALID approach-ins_26_52_shroom"
"ins",26,"26","feedback","53",268238,"TRIALID approach-ins_26_53_feedback"
"ins",27,"27","shroom","54",273906,"TRIALID approach-ins_27_54_shroom"
"ins",27,"27","feedback","55",278788,"TRIALID approach-ins_27_55_feedback"
"ins",28,"28","shroom","56",284655,"TRIALID approach-ins_28_56_shroom"
"ins",28,"28","feedback","57",289571,"TRIALID approach-ins_28_57_feedback"
"ins",29,"29","shroom","58",295523,"TRIALID approach-ins_29_58_shroom"
"ins",29,"29","feedback","59",299789,"TRIALID approach-ins_29_59_feedback"
"ins",30,"30","shroom","60",305473,"TRIALID approach-ins_30_60_shroom"
"ins",30,"30","feedback","61",310356,"TRIALID approach-ins_30_61_feedback"
"ins",31,"31","shroom","62",315524,"TRIALID approach-ins_31_62_shroom"
"ins",31,"31","feedback","63",319656,"TRIALID approach-ins_31_63_feedback"
"ins",32,"32","shroom","64",325174,"TRIALID approach-ins_32_64_shroom"
"ins",32,"32","feedback","65",330058,"TRIALID approach-ins_32_65_feedback"
"ins",33,"33","shroom","66",335376,"TRIALID approach-ins_33_66_shroom"
"ins",33,"33","feedback","67",340258,"TRIALID approach-ins_33_67_feedback"
"ins",34,"34","shroom","68",345842,"TRIALID approach-ins_34_68_shroom"
"ins",34,"34","feedback","69",350725,"TRIALID approach-ins_34_69_feedback"
"ins",35,"35","shroom","70",356161,"TRIALID approach-ins_35_70_shroom"
"ins",35,"35","feedback","71",361043,"TRIALID approach-ins_35_71_feedback"
"ins",36,"36","shroom","72",366327,"TRIALID approach-ins_36_72_shroom"
"ins",36,"36","feedback","73",370460,"TRIALID approach-ins_36_73_feedback"
"ins",37,"37","shroom","74",376044,"TRIALID approach-ins_37_74_shroom"
"ins",37,"37","feedback","75",380927,"TRIALID approach-ins_37_75_feedback"
"ins",38,"38","shroom","76",386495,"TRIALID approach-ins_38_76_shroom"
"ins",38,"38","feedback","77",391379,"TRIALID approach-ins_38_77_feedback"
"ins",39,"39","shroom","78",396878,"TRIALID approach-ins_39_78_shroom"
"ins",39,"39","feedback","79",401045,"TRIALID approach-ins_39_79_feedback"
"ins",40,"40","shroom","80",406413,"TRIALID approach-ins_40_80_shroom"
"ins",40,"40","feedback","81",411295,"TRIALID approach-ins_40_81_feedback"
"ins",41,"41","shroom","82",416980,"TRIALID approach-ins_41_82_shroom"
"ins",41,"41","feedback","83",421914,"TRIALID approach-ins_41_83_feedback"
"ins",42,"42","shroom","84",427313,"TRIALID approach-ins_42_84_shroom"
"ins",42,"42","feedback","85",432197,"TRIALID approach-ins_42_85_feedback"
"ins",43,"43","shroom","86",437964,"TRIALID approach-ins_43_86_shroom"
"ins",43,"43","feedback","87",442064,"TRIALID approach-ins_43_87_feedback"
"ins",44,"44","shroom","88",447548,"TRIALID approach-ins_44_88_shroom"
"ins",44,"44","feedback","89",451798,"TRIALID approach-ins_44_89_feedback"
"ins",45,"45","shroom","90",457449,"TRIALID approach-ins_45_90_shroom"
"ins",45,"45","feedback","91",462332,"TRIALID approach-ins_45_91_feedback"
"ins",46,"46","shroom","92",467733,"TRIALID approach-ins_46_92_shroom"
"ins",46,"46","feedback","93",472616,"TRIALID approach-ins_46_93_feedback"
"ins",47,"47","shroom","94",478067,"TRIALID approach-ins_47_94_shroom"
"ins",47,"47","feedback","95",482283,"TRIALID approach-ins_47_95_feedback"
"ins",48,"48","shroom","96",487551,"TRIALID approach-ins_48_96_shroom"
"ins",48,"48","shroom","97",491835,"TRIALID approach-ins_48_97_shroom"
"ins",48,"48","feedback","98",496334,"TRIALID approach-ins_48_98_feedback"
"ins",49,"49","shroom","99",501652,"TRIALID approach-ins_49_99_shroom"
"ins",49,"49","feedback","100",506534,"TRIALID approach-ins_49_100_feedback"
"ins",50,"50","shroom","101",512218,"TRIALID approach-ins_50_101_shroom"
"ins",50,"50","feedback","102",516752,"TRIALID approach-ins_50_102_feedback"
"ins",51,"51","shroom","103",522370,"TRIALID approach-ins_51_103_shroom"
"ins",51,"51","feedback","104",527253,"TRIALID approach-ins_51_104_feedback"
"ins",52,"52","shroom","105",533370,"TRIALID approach-ins_52_105_shroom"
"ins",52,"52","feedback","106",537737,"TRIALID approach-ins_52_106_feedback"
"ins",53,"53","shroom","107",544138,"TRIALID approach-ins_53_107_shroom"
"ins",53,"53","feedback","108",549020,"TRIALID approach-ins_53_108_feedback"
"ins",54,"54","shroom","109",554271,"TRIALID approach-ins_54_109_shroom"
"ins",54,"54","feedback","110",558905,"TRIALID approach-ins_54_110_feedback"
"ins",55,"55","shroom","111",565972,"TRIALID approach-ins_55_111_shroom"
"ins",55,"55","feedback","112",570438,"TRIALID approach-ins_55_112_feedback"
"ins",56,"56","shroom","113",575839,"TRIALID approach-ins_56_113_shroom"
"ins",56,"56","feedback","114",580776,"TRIALID approach-ins_56_114_feedback"
"ins",57,"57","shroom","115",586390,"TRIALID approach-ins_57_115_shroom"
"ins",57,"57","feedback","116",590923,"TRIALID approach-ins_57_116_feedback"
"ins",58,"58","shroom","117",596574,"TRIALID approach-ins_58_117_shroom"
"ins",58,"58","feedback","118",600791,"TRIALID approach-ins_58_118_feedback"
"ins",59,"59","shroom","119",606576,"TRIALID approach-ins_59_119_shroom"
"ins",59,"59","feedback","120",611324,"TRIALID approach-ins_59_120_feedback"
"ins",60,"60","shroom","121",616759,"TRIALID approach-ins_60_121_shroom"
"ins",60,"60","feedback","122",620925,"TRIALID approach-ins_60_122_feedback"
"ins",61,"61","shroom","123",626510,"TRIALID approach-ins_61_123_shroom"
"ins",61,"61","feedback","124",631392,"TRIALID approach-ins_61_124_feedback"
"ins",62,"62","shroom","125",637526,"TRIALID approach-ins_62_125_shroom"
"ins",62,"62","feedback","126",642409,"TRIALID approach-ins_62_126_feedback"
"ins",63,"63","shroom","127",647477,"TRIALID approach-ins_63_127_shroom"
"ins",63,"63","feedback","128",652359,"TRIALID approach-ins_63_128_feedback"
"ins",64,"64","shroom","129",658111,"TRIALID approach-ins_64_129_shroom"
"ins",64,"64","feedback","130",662993,"TRIALID approach-ins_64_130_feedback"
"ins",65,"65","shroom","131",669061,"TRIALID approach-ins_65_131_shroom"
"ins",65,"65","feedback","132",673944,"TRIALID approach-ins_65_132_feedback"
"ins",66,"66","shroom","133",679228,"TRIALID approach-ins_66_133_shroom"
"ins",66,"66","feedback","134",683545,"TRIALID approach-ins_66_134_feedback"
"ins",67,"67","shroom","135",688946,"TRIALID approach-ins_67_135_shroom"
"ins",67,"67","feedback","136",693479,"TRIALID approach-ins_67_136_feedback"
"ins",68,"68","shroom","137",699164,"TRIALID approach-ins_68_137_shroom"
"ins",68,"68","feedback","138",704046,"TRIALID approach-ins_68_138_feedback"
"ins",69,"69","shroom","139",710080,"TRIALID approach-ins_69_139_shroom"
"ins",69,"69","feedback","140",714297,"TRIALID approach-ins_69_140_feedback"
"ins",70,"70","shroom","141",720314,"TRIALID approach-ins_70_141_shroom"
"ins",70,"70","feedback","142",725197,"TRIALID approach-ins_70_142_feedback"
"ins",71,"71","shroom","143",730515,"TRIALID approach-ins_71_143_shroom"
"ins",71,"71","feedback","144",734631,"TRIALID approach-ins_71_144_feedback"
"ins",72,"72","shroom","145",740532,"TRIALID approach-ins_72_145_shroom"
"ins",72,"72","feedback","146",745416,"TRIALID approach-ins_72_146_feedback"
"pav",73,"1","fractal","147",811226,"TRIALID approach-pav_1_147_fractal"
"pav",73,"1","feedback","148",814634,"TRIALID approach-pav_1_148_feedback"
"pav",74,"2","fractal","149",819087,"TRIALID approach-pav_2_149_fractal"
"pav",74,"2","feedback","150",822714,"TRIALID approach-pav_2_150_feedback"
"pav",75,"3","fractal","151",827171,"TRIALID approach-pav_3_151_fractal"
"pav",75,"3","feedback","152",830577,"TRIALID approach-pav_3_152_feedback"
"pav",76,"4","fractal","153",835038,"TRIALID approach-pav_4_153_fractal"
"pav",76,"4","feedback","154",838664,"TRIALID approach-pav_4_154_feedback"
"pav",77,"5","fractal","155",843122,"TRIALID approach-pav_5_155_fractal"
"pav",77,"5","feedback","156",846730,"TRIALID approach-pav_5_156_feedback"
"feedback",78,"1","fractals","157",851188,"TRIALID approach-feedback_1_157_fractals"
"pav",79,"6","fractal","158",858005,"TRIALID approach-pav_6_158_fractal"
"pav",79,"6","feedback","159",861411,"TRIALID approach-pav_6_159_feedback"
"pav",80,"7","fractal","160",865874,"TRIALID approach-pav_7_160_fractal"
"pav",80,"7","feedback","161",869278,"TRIALID approach-pav_7_161_feedback"
"pav",81,"8","fractal","162",873740,"TRIALID approach-pav_8_162_fractal"
"pav",81,"8","feedback","163",877353,"TRIALID approach-pav_8_163_feedback"
